slide_number,section,slide_type,secondary_text,primary_text,answer,answer_source,notes
1,PRE-SHOW,attract,,L,,,
2,WARM-UP,fishbowl,DROP IT IN THE BOWL. WE WILL USE IT AGAINST YOU.,WRITE YOUR RED FLAG.,,,
3,ROUND 1: GUESS THE SOURCE,round_title,GUESS THE SOURCE,ROUND 1,,,
4,ROUND 1: GUESS THE SOURCE,tier_title,Q1-Q4: 1 POINT | Q5 BONUS: 3 POINTS | Q6-Q9: 1 POINT | Q10 BONUS: 5 POINTS | Q11-Q14: 1 POINT | Q15 BONUS: 10 POINTS,WE SHOW THE LINE. YOU WRITE WHERE IT'S FROM.,,,
5,ROUND 1: GUESS THE SOURCE,source_q,,DID I STUTTER?,The Office,,
6,ROUND 1: GUESS THE SOURCE,source_q,,I AM IRON MAN,Avengers,,
7,ROUND 1: GUESS THE SOURCE,source_q,,"HASTA LA VISTA, BABY",Terminator 2,,
8,ROUND 1: GUESS THE SOURCE,source_q,,I KISSED A GIRL,Katy Perry,,
9,ROUND 1: GUESS THE SOURCE,bonus_marker,,BONUS: 3 POINTS,,,
10,ROUND 1: GUESS THE SOURCE,source_q,,SHUT UP AND TAKE MY MONEY,Futurama,,bonus 3pts
11,ROUND 1: GUESS THE SOURCE,source_q,,TO INFINITY AND BEYOND,Toy Story,,
12,ROUND 1: GUESS THE SOURCE,source_q,,I SEE DEAD PEOPLE,The Sixth Sense,,
13,ROUND 1: GUESS THE SOURCE,source_q,,I WILL ALWAYS LOVE YOU,Whitney Houston,,
14,ROUND 1: GUESS THE SOURCE,source_q,,WHO LET THE DOGS OUT,Baha Men,,
15,ROUND 1: GUESS THE SOURCE,bonus_marker,,BONUS: 5 POINTS,,,
16,ROUND 1: GUESS THE SOURCE,source_q,,PARTY ROCK IS IN THE HOUSE TONIGHT,LMFAO,,bonus 5pts
17,ROUND 1: GUESS THE SOURCE,source_q,,MAY THE FORCE BE WITH YOU,Star Wars,,
18,ROUND 1: GUESS THE SOURCE,source_q,,HIT ME BABY ONE MORE TIME,Britney Spears,,
19,ROUND 1: GUESS THE SOURCE,source_q,,I'M GONNA TAKE MY HORSE TO THE OLD TOWN ROAD,Lil Nas X,,
20,ROUND 1: GUESS THE SOURCE,source_q,,LOOK WHAT YOU MADE ME DO,Taylor Swift,,
21,ROUND 1: GUESS THE SOURCE,bonus_marker,,BONUS: 10 POINTS,,,
22,ROUND 1: GUESS THE SOURCE,source_q,,GOODBYE YELLOW BRICK ROAD,Elton John,,bonus 10pts
23,ROUND 1: GUESS THE SOURCE,score,SWAP SCORECARDS. MARK THEM.,ROUND 1 COMPLETE,,,
24,ROUND 1: GUESS THE SOURCE,crate_drop,,,,,
